No;Categories;Product;Unit;Price ;;;
424;Fresh Vegetables;Potatoes big ;UNIT;2;;;
425;Fresh Vegetables;Potatoes small ;UNIT;2.05;;;
426;Fresh Vegetables;Sweet potato;UNIT;2.1;;;
427;Fresh Vegetables;Pumpkin yellow;UNIT;1.55;;;
428;Fresh Vegetables;Raddishes red;UNIT;2;;;
429;Fresh Vegetables;Snow peas;UNIT;5.35;;;
430;Fresh Vegetables;Soy beans sprouts;UNIT;5.7;;;
431;Fresh Vegetables;Spinach leaves;UNIT;5.3;;;
432;Fresh Vegetables;Tomatoes half ripe;UNIT;2.5;;;
433;Fresh Vegetables;Tomatoes ripe;UNIT;2.2;;;
434;Fresh Vegetables;Watercress;UNIT;5.7;;;
435;Fresh Vegetables;Zucchini / marrows green;UNIT;2.35;;;
436;Fresh Vegetables;Asparagus spears ;UNIT;6.8;;;
437;Fresh Vegetables;Baby corn whole ;UNIT;7.3;;;
438;Canned Vegetables;Black beans  ;UNIT;5.2;;;
439;Canned Vegetables;Chickpeas ;UNIT;5.2;;;
440;Canned Vegetables;Jalapeno/big green hot chille 425 grm;UNIT;5.25;;;
441;Canned Vegetables;Mixed vegetables 454 grm;UNIT;5.25;;;
442;Canned Vegetables;Mushrooms sliced 454 grm ;UNIT;5;;;
443;Canned Vegetables;Mushrooms whole 454 grm tin;UNIT;5.25;;;
444;Canned Vegetables;Palm hearts;UNIT;3.5;;;
445;Canned Vegetables;Peas and carrots ;UNIT;3.5;;;
446;Canned Vegetables;Peas garden medium;UNIT;3.5;;;
447;Canned Vegetables;Red kidney beans long;UNIT;3.5;;;
448;Canned Vegetables;Red pimento whole;UNIT;4.5;;;
449;Canned Vegetables;Soybean sprouts;UNIT;7.5;;;
450;Canned Vegetables;Sweet corn kernels;UNIT;5;;;
451;Canned Vegetables;Tomato paste 454 grm ;UNIT;5.25;;;
452;Canned Vegetables;Mixed pickles 400 gr;UNIT;7.8;;;
453;Canned Vegetables;Pickled cucumbers 600 grm;UNIT;6.8;;;
454;Canned Vegetables;Red sweet pepper pickled 300 gr;UNIT;5.75;;;
455;Vinegar;Balsamic vinegar 250ml;UNIT;9.4;;;
456;Vinegar;Balsamic white vinegar 227 ml;UNIT;8.25;;;
